=== CUS ===
Tatal ap jobs: 127
clock 0: T3, server deadline:0
clock 822: TA30, server deadline:851
clock 823: TA30, server deadline:851
clock 824: TA30, server deadline:851
clock 825: T3, server deadline:851
clock 826: T3, server deadline:851
clock 827: TA30, server deadline:851
clock 828: TA30, server deadline:851
TA30 finishs: 208 ~ 829
Current total_response_time: 7426
clock 829: T5, server deadline:851
clock 830: T5, server deadline:851
clock 831: T5, server deadline:851
clock 832: T5, server deadline:851
clock 833: T5, server deadline:851
clock 834: T2, server deadline:851
clock 835: T2, server deadline:851
clock 836: T2, server deadline:851
clock 837: T2, server deadline:851
clock 838: T2, server deadline:851
clock 839: T2, server deadline:851
clock 840: T3, server deadline:851
clock 841: T3, server deadline:851
clock 842: T2, server deadline:851
clock 843: T9, server deadline:851
clock 844: T9, server deadline:851
clock 845: T9, server deadline:851
clock 846: T9, server deadline:851
clock 847: T9, server deadline:851
clock 848: T9, server deadline:851
clock 849: T9, server deadline:851
clock 850: T9, server deadline:851
For TA31, New deadline: 851 + 50 = 901
clock 851: TA31, server deadline:901
clock 852: TA31, server deadline:901
clock 853: TA31, server deadline:901
clock 854: TA31, server deadline:901
clock 855: T3, server deadline:901
clock 856: T3, server deadline:901
clock 857: TA31, server deadline:901
clock 858: TA31, server deadline:901
clock 859: TA31, server deadline:901
clock 860: TA31, server deadline:901
clock 861: TA31, server deadline:901
clock 862: TA31, server deadline:901
TA31 finishs: 208 ~ 863
Current total_response_time: 8081
clock 863: T9, server deadline:901
clock 864: T9, server deadline:901
clock 865: T9, server deadline:901
clock 866: T9, server deadline:901
clock 867: T9, server deadline:901
clock 868: T9, server deadline:901
clock 869: T9, server deadline:901
clock 870: T3, server deadline:901
clock 871: T3, server deadline:901
clock 872: T1, server deadline:901
clock 873: T1, server deadline:901
clock 874: T1, server deadline:901
clock 875: T1, server deadline:901
clock 876: T1, server deadline:901
clock 877: T1, server deadline:901
clock 878: T1, server deadline:901
clock 879: T1, server deadline:901
clock 880: T1, server deadline:901
clock 881: T1, server deadline:901
clock 882: T1, server deadline:901
clock 883: T1, server deadline:901
clock 884: T1, server deadline:901
clock 885: T3, server deadline:901
clock 886: T3, server deadline:901
clock 887: T1, server deadline:901
clock 888: T1, server deadline:901
clock 889: T1, server deadline:901
clock 890: T1, server deadline:901
clock 891: T1, server deadline:901
clock 892: T1, server deadline:901
clock 893: T1, server deadline:901
clock 894: T1, server deadline:901
clock 895: T1, server deadline:901
clock 896: T1, server deadline:901
clock 897: T1, server deadline:901
clock 898: T1, server deadline:901
clock 899: T1, server deadline:901
clock 900: T1, server deadline:901
For TA32, New deadline: 901 + 30 = 931
clock 901: T1, server deadline:931
clock 902: T1, server deadline:931
clock 903: T1, server deadline:931
clock 904: T1, server deadline:931
clock 905: T6, server deadline:931
clock 906: T6, server deadline:931
clock 907: T6, server deadline:931
clock 908: T6, server deadline:931
clock 909: T3, server deadline:931
clock 910: T3, server deadline:931
clock 911: TA32, server deadline:931
clock 912: TA32, server deadline:931
clock 913: TA32, server deadline:931
clock 914: TA32, server deadline:931
clock 915: T3, server deadline:931
clock 916: T3, server deadline:931
clock 917: TA32, server deadline:931
clock 918: TA32, server deadline:931
TA32 finishs: 208 ~ 919
Current total_response_time: 8792
clock 919: T6, server deadline:931
clock 920: T6, server deadline:931
clock 921: T6, server deadline:931
clock 922: T6, server deadline:931
clock 923: T7, server deadline:931
clock 924: T7, server deadline:931
clock 925: T7, server deadline:931
clock 926: T7, server deadline:931
clock 927: T7, server deadline:931
clock 928: T2, server deadline:931
clock 929: T2, server deadline:931
clock 930: T3, server deadline:931
For TA33, New deadline: 931 + 50 = 981
clock 931: T3, server deadline:981
clock 932: T2, server deadline:981
clock 933: T2, server deadline:981
clock 934: T2, server deadline:981
clock 935: T2, server deadline:981
clock 936: T2, server deadline:981
clock 937: T10, server deadline:981
clock 938: T10, server deadline:981
clock 939: T10, server deadline:981
clock 940: T10, server deadline:981
clock 941: T10, server deadline:981
clock 942: T10, server deadline:981
clock 943: T10, server deadline:981
clock 944: T10, server deadline:981
clock 945: T3, server deadline:981
clock 946: T3, server deadline:981
clock 947: TA33, server deadline:981
clock 948: TA33, server deadline:981
clock 949: TA33, server deadline:981
clock 950: TA33, server deadline:981
clock 951: TA33, server deadline:981
clock 952: TA33, server deadline:981
clock 953: TA33, server deadline:981
clock 954: TA33, server deadline:981
clock 955: TA33, server deadline:981
clock 956: TA33, server deadline:981
TA33 finishs: 208 ~ 957
Current total_response_time: 9541
clock 957: T8, server deadline:981
clock 958: T8, server deadline:981
clock 959: T8, server deadline:981
clock 960: T3, server deadline:981
clock 961: T3, server deadline:981
clock 962: T8, server deadline:981
clock 963: T8, server deadline:981
clock 964: T8, server deadline:981
clock 965: T8, server deadline:981
clock 966: T8, server deadline:981
clock 967: T8, server deadline:981
clock 968: T8, server deadline:981
clock 969: T8, server deadline:981
clock 970: T8, server deadline:981
clock 971: T8, server deadline:981
clock 972: T8, server deadline:981
clock 973: T8, server deadline:981
clock 974: T8, server deadline:981
clock 975: T8, server deadline:981
clock 976: T8, server deadline:981
clock 977: T8, server deadline:981
clock 978: T8, server deadline:981
clock 979: T8, server deadline:981
clock 980: T8, server deadline:981
For TA34, New deadline: 981 + 30 = 1011
clock 981: T8, server deadline:1011
clock 982: T8, server deadline:1011
clock 983: T3, server deadline:1011
clock 984: T3, server deadline:1011
clock 985: T6, server deadline:1011
clock 986: T6, server deadline:1011
clock 987: T6, server deadline:1011
clock 988: T6, server deadline:1011
clock 989: TA34, server deadline:1011
clock 990: T3, server deadline:1011
clock 991: T3, server deadline:1011
clock 992: TA34, server deadline:1011
clock 993: TA34, server deadline:1011
clock 994: TA34, server deadline:1011
clock 995: TA34, server deadline:1011
clock 996: TA34, server deadline:1011
TA34 finishs: 208 ~ 997
Current total_response_time: 10330
clock 997: T5, server deadline:1011
clock 998: T5, server deadline:1011
clock 999: T5, server deadline:1011
clock 1000: T5, server deadline:1011
Remaining aperiodic jobs: TA35 ->TA36 ->TA37 ->TA38 ->TA39 ->TA40 ->TA41 ->TA42 ->TA43 ->TA44 ->TA45 ->TA46 ->TA47 ->TA48 ->TA49 ->TA50 ->TA51 ->TA52 ->TA53 ->TA54 ->TA55 ->TA56 ->TA57 ->TA58 ->TA59 ->TA60 ->TA61 ->TA62 ->TA63 ->TA64 ->TA65 ->TA66 ->TA67 ->TA68 ->TA69 ->TA70 ->TA71 ->TA72 ->TA73 ->TA74 ->TA75 ->TA76 ->TA77 ->TA78 ->TA79 ->TA80 ->TA81 ->TA82 ->TA83 ->TA84 ->TA85 ->TA86 ->TA87 ->TA88 ->TA89 ->TA90 ->TA91 ->TA92 ->TA93 ->TA94 ->TA95 ->TA96 ->TA97 ->TA98 ->TA99 ->TA100 ->TA101 ->TA102 ->TA103 ->TA104 ->TA105 ->TA106 ->TA107 ->TA108 ->TA109 ->TA110 ->TA111 ->TA112 ->TA113 ->TA114 ->TA115 ->TA116 ->TA117 ->TA118 ->TA119 ->TA120 ->TA121 ->TA122 ->TA123 ->TA124 ->TA125 ->TA126 ->TA127 ->NULL
miss periodic jobs: 3, total periodic jobs: 145
total response time: 10330, number of completed aperiodic tasks: 34
Miss rate of periodic jobs: 0.020690
Average response time of aperiodic jobs: 303.823529
